PQ,Wat1,Wat2,Wat3,year,month,index
73748.7264973,353.877374312,15.3843398676,18.8928579983,2017,11,32
70957.6046397,202.29409185,20.3019492699,34.7986395225,2017,11,33
74287.3487759,191.834260053,14.1337938979,29.9067159324,2017,11,34
80761.2150048,229.526483018,14.0514873562,29.0252799271,2017,11,35
73254.9589394,113.745345091,13.6396470774,23.8081542008,2017,11,36
68280.4090732,113.663136681,13.5893948528,30.479332533,2017,11,37
64219.7198627,213.806024496,13.5625281829,25.8402301982,2017,11,38
64904.903993,366.204228222,13.4816523474,29.5114767433,2017,11,39
69846.0813079,366.012894516,14.5344953885,30.6784443607,2017,11,40
73941.1301622,344.858927169,15.6268539185,28.7685385558,2017,11,41
78383.246656,364.547903255,18.9702747839,23.7233873132,2017,11,42
76841.2182539,364.331759525,20.5016256123,29.0782812539,2017,11,43
72227.8246506,310.384777295,16.1149270945,32.4827720326,2017,11,44
75899.4899226,194.283235091,16.0064140651,25.7622369729,2017,11,45
80337.9473481,113.826811629,17.2396847348,32.8374049472,2017,11,46
78256.4287566,113.699618392,18.0236370656,27.8962304201,2017,11,47
79445.2984442,113.662653832,17.6030768477,25.585678168,2017,11,48
81022.1310219,113.578540334,18.7874843282,32.8743983103,2017,11,49
80138.3937911,316.676890296,18.8793314123,30.7002989773,2017,11,50
78800.8447817,153.409273515,17.6671093347,31.388842238,2017,11,51
79080.6664855,241.213126654,24.2553294483,33.3941813544,2017,11,52
74503.4428381,298.944552131,20.7363957276,27.7323778205,2017,11,53
73736.452961,196.508895931,18.6990529871,34.2434110449,2017,11,54
75140.5652629,354.01632134,18.5772928802,32.6136516643,2017,11,55
76975.3217414,198.17561158,19.2454125479,30.2619411963,2017,11,56
78028.2594509,113.821816059,17.7108250946,33.1619539674,2017,11,57
82544.722673,113.693594425,17.66681687,24.8435941932,2017,11,58
86933.4654238,113.587354061,20.5568336106,29.4552108112,2017,11,59
86956.7271455,272.734522448,20.2921991819,27.1141807609,2017,11,60
81683.4067085,279.339589284,20.121065372,30.9506556568,2017,11,61
70074.4670899,279.547203437,20.3680016195,29.0776409409,2017,11,62
68378.9034881,279.714617736,23.3505036192,29.7555685186,2017,11,63
69234.7661151,279.56992396,26.8957684463,31.9672084781,2017,11,64
69211.598428,279.645007356,22.8755326754,31.8453674207,2017,11,65
68694.4793324,279.9653239,21.9772115434,22.0243058921,2017,11,66
