date,15m_indx,Wat1,Wat2,Wat3,PQ
11/2/2017,45,253.3,25.8,28.1,81.3
11/2/2017,46,279.9,25.3,30,82.8
11/2/2017,47,279.6,24.5,30.7,82.7
11/2/2017,48,279.6,26.6,26.9,85.7
11/2/2017,49,279.9,27.6,27.2,81.5
11/2/2017,50,279.9,24.5,31.4,84.9
11/2/2017,51,279.7,26,21,77.9
11/2/2017,52,279.3,25.6,40.4,78.8
11/2/2017,53,279.2,25.8,24.8,84
11/2/2017,54,279.3,25.3,29.6,74.8
11/2/2017,55,269.4,29.8,28.7,76
11/2/2017,56,315.9,24.7,27.3,75.2
11/2/2017,57,299,24.7,35.5,78.3
11/2/2017,58,241.5,24.3,20.9,80.5
11/2/2017,59,240.5,24.6,36.1,80.1
11/2/2017,60,113.9,24.7,28.4,80.3
11/2/2017,61,272.3,28.8,32.3,79.6
11/2/2017,62,290.1,24.4,29.3,78
11/2/2017,63,354.5,23.4,25.8,81.5
11/2/2017,64,354.7,24,32.8,78.2
11/2/2017,65,355,22.9,29.9,72.4
11/2/2017,66,254.4,22.3,32.2,71.7
11/2/2017,67,350.1,25.6,28.9,77.5
11/2/2017,68,255.4,21,28.1,77.9
11/2/2017,69,113.7,22.1,32.8,77.9
11/2/2017,70,113.6,19.6,29,79.6
11/2/2017,71,113.6,19.5,33.3,78.7
11/2/2017,72,113.6,20.3,25.4,80.5
11/2/2017,73,287.4,23.8,26.7,78.1
11/2/2017,74,256.8,20.1,31.9,78.2
11/2/2017,75,213.5,20.4,34.1,74.9
11/2/2017,76,243.8,20.4,29.1,75.7
11/2/2017,77,131.9,19.7,27.1,72.3
11/2/2017,78,354.6,19.9,30.4,76.8
11/2/2017,79,178.9,25.6,30.6,79.9
11/2/2017,80,121.7,20.2,35,75.8
11/2/2017,81,251.3,19.9,25.3,78.8
11/2/2017,82,226.5,20.4,27,82.7
11/2/2017,83,224.4,20.4,30.5,77.5
11/2/2017,84,113.4,19.9,29.2,76.2
11/2/2017,85,289.6,24.5,35.4,78.6
11/2/2017,86,199.5,19.3,29,73.1
11/2/2017,87,113.4,19.6,28.8,74.7
11/2/2017,88,151.6,20,33,77.6
11/2/2017,89,218.9,21,27.1,79.6
11/2/2017,90,231.5,22.4,30.5,77.7
11/2/2017,91,124.4,26.2,28.1,78.4
11/2/2017,92,309.9,19.8,31.2,80.5
11/2/2017,93,353.9,19.8,27.2,78
11/2/2017,94,169.4,19.7,31,79.6
11/2/2017,95,112.8,20.7,28.6,70.3
11/2/2017,96,354.8,21.2,37.7,73.1
11/3/2017,0,366.1,20.8,17,73.3
11/3/2017,1,358.4,25.5,31.1,77.4
11/3/2017,2,239.1,21,31.2,78
11/3/2017,3,257.7,19.7,31.1,77.4
11/3/2017,4,354.4,19.6,28.9,80
11/3/2017,5,353.8,20,29.1,80.3
11/3/2017,6,337.9,20.5,33.2,77
11/3/2017,7,113.9,24.3,30.8,78.6
11/3/2017,8,113.4,22.3,24.9,73.6
11/3/2017,9,187.6,20.8,29,74.9
11/3/2017,10,184.8,19.7,29.5,75
11/3/2017,11,148.6,19.7,31.1,74.2
11/3/2017,12,236.5,19.8,33,78.1
11/3/2017,13,194.7,21.1,27.3,79.3
11/3/2017,14,113.3,24,27,80.9
11/3/2017,15,271.3,21.3,31,76
11/3/2017,16,357.9,20.9,31,77.5
11/3/2017,17,210.1,21.7,31.1,80.7
11/3/2017,18,228,19.9,26.8,69.1
11/3/2017,19,197.9,19.7,27.3,71
11/3/2017,20,266.3,24.7,29,74.9
11/3/2017,21,171.9,19.8,33,82.4
11/3/2017,22,229.9,20.5,25,76.5
11/3/2017,23,209.3,20.6,31,74.7
11/3/2017,24,226.9,21.5,31,82.9
11/3/2017,25,138.5,20.7,27,80.6
11/3/2017,26,365.8,22.8,33,73.1
11/3/2017,27,356.5,23.3,24.9,73
11/3/2017,28,365.1,20.8,29,75.7
11/3/2017,29,326.6,23.4,31,71.6
11/3/2017,30,272.6,24.1,28.4,74.3
11/3/2017,31,130.9,25.4,29.5,83.7
11/3/2017,32,353.9,23.7,26.9,81
11/3/2017,33,353.3,27.8,34.3,81.9
11/3/2017,34,141.5,24.7,26.2,81
