time,PQ,Wat1,Wat2,Wat3
2017-11-01,87.16301497133333,366.19865094666665,23.841461755333334,34.305072845333335
2017-11-02,89.53409571266667,367.5873622733333,29.538927007333335,51.84025573866666
2017-11-03,84.23956532266666,365.5619693666667,29.116526273999998,37.88579331
2017-11-04,82.41094406266667,354.08489416,25.671662144,35.49882329
2017-11-05,85.85627057800001,366.2445403533333,26.11091293533333,40.26216512
2017-11-06,90.53293350266667,368.1009405666667,29.987748944,40.286497224
2017-11-07,96.79177419933333,374.93820148,31.6498691,44.857758993333334
2017-11-08,100.368031602,379.24850946,30.488044793333334,43.330896586
2017-11-09,86.165462858,366.48637610000003,18.445883901333332,42.08051476
2017-11-10,96.09524094066667,369.8478636533333,18.293597831333333,43.043350638
2017-11-11,89.08149398466666,380.53266314666666,19.823944676666667,44.74221745733333
2017-11-12,87.76170707133333,381.00321898666664,19.612122170666666,43.320872762
2017-11-13,88.22948979933334,368.60631436,19.263904242000002,39.24721174733333
2017-11-14,89.880358444,355.64609916,24.159600543333333,50.949534865333334
2017-11-15,99.87924450933333,380.65079496000004,26.056241265333334,51.878501154666665
2017-11-16,92.11426587333334,381.34454702666665,21.915425372,49.50698552666667
2017-11-17,95.17892361933333,335.1323654066667,20.358528062,44.656604742
2017-11-18,99.55420834533334,345.77880423333335,22.829882930666667,62.18634965
2017-11-19,102.23426704133334,378.9165159666667,21.222897261333333,58.242819540666666
2017-11-20,119.00976456666666,356.23530893333333,22.781597121333334,62.23687312333333
2017-11-21,122.59345463333334,336.21725356,20.657520788666666,63.08493073
2017-11-22,117.49699454,351.83771692666664,19.799920315333335,54.55193488133333
2017-11-23,110.13278574666667,367.12324665333335,20.326036778666666,47.11074637066667
2017-11-24,111.29845246666666,378.5066675,22.588284144,57.922698507999996
2017-11-25,114.54369408,363.87264559333335,21.411830673333334,60.03251085066667
2017-11-26,120.48210914666667,320.03160123333333,21.957477908,60.494265641333335
2017-11-27,125.54481469333334,380.81725794666664,22.225569276666665,67.05397198666667
2017-11-28,122.51956926,378.96075776,24.539103958666665,60.664962254
2017-11-29,124.28395382,376.44328500666666,21.208705849333334,45.806253328
2017-11-30,119.06224958666667,374.94236665333335,35.99622187666667,53.299972808666666
2017-12-01,121.15384584,377.39628702,36.321317330666666,60.09982382
2017-12-02,117.51400539333333,375.76130873333335,36.22595880266667,45.372986768000004
2017-12-03,109.33510900666667,372.2082603333333,32.658161062,45.76363194666666
2017-12-04,112.42994760666667,373.46847701999997,34.358258744666664,42.48288942666667
2017-12-05,125.97796543999999,383.8762206266667,41.622272358000004,44.231702651333336
2017-12-06,138.24354573333332,35.77714981933333,38.634881096,42.472019074
2017-12-07,155.41935882666667,361.95360774,38.2116699,43.30237338333333
2017-12-08,143.83263899333332,387.53251318,36.494353841333336,41.428096516000004
2017-12-09,147.64692380666668,385.8912094066667,36.11351260466667,41.531123996666665
2017-12-10,141.79956316666667,386.82223565333334,34.937913384,42.37498820733333
2017-12-11,139.60121682,386.5031643533333,37.35794275933333,36.131407796666664
2017-12-12,140.50567904666667,384.47686438666665,38.936212784,43.793252562666666
2017-12-13,137.23207157333334,378.8820230266667,28.189950185333334,41.71805088866667
2017-12-14,142.72866402666665,374.9878877533333,17.663852007333332,64.61344797266666
2017-12-15,140.85878614666666,374.2685408,17.501706799333334,47.516060943333336
2017-12-16,132.9449879,373.82858670666667,17.776813124,41.67794016333333
2017-12-17,130.90166708,306.8367295933333,17.818306814666666,41.829875488666666
2017-12-18,137.78374246666667,305.74245082666664,21.775216138,41.91049429266667
2017-12-19,138.41618732666666,333.23567925333333,18.399847208,46.237995254666664
2017-12-20,138.84106299333334,331.5128616,18.105829698666668,42.096646590666666
2017-12-21,141.31586423333334,350.12941839333337,19.269282564666668,49.63496314733333
2017-12-22,143.53441569333333,364.61987365333334,16.289265662866665,52.56827444133333
2017-12-23,147.2884385,363.26826648,16.02688369133333,44.675364388666665
2017-12-24,150.49046276666667,364.68505395333335,15.424935130666666,41.15955608666667
2017-12-25,156.64514660666666,363.83274187333336,16.717094247333335,51.65076753733334
2017-12-26,154.29148985999998,365.33491467333334,17.08550238333333,52.423669982
2017-12-27,164.23938814666667,375.93700429333336,17.204883116666664,64.511328882
2017-12-28,160.72284324,362.95709193333334,24.321862368,59.16189253666667
2017-12-29,182.17545884,373.67237235333334,19.334409297333334,69.674988948
2017-12-30,186.62916105333332,376.1756693,20.440706998666666,63.148918306
2017-12-31,184.33362188,375.65442552666667,19.654378720666667,56.83856061666667
2018-01-01,174.88240888,361.9732712333333,21.95310556,52.428687022666665
2018-01-02,171.21161734,360.38064964666665,23.230372056,50.68433668066667
2018-01-03,168.79388879333334,360.7796147,24.162543954,42.328393727333335
2018-01-04,174.33828632666666,362.1094253333333,37.58942976666667,54.683704379333335
2018-01-05,174.50900255333335,361.19158526,41.10209216133333,55.197853888000004
2018-01-06,188.41942402666666,360.63965277333335,41.752098144,55.60235096066667
2018-01-07,175.70931263333333,362.58102037333333,34.97952477333333,56.935381416
2018-01-08,190.83218428,373.2882764066667,39.53073455333333,96.03922836733334
2018-01-09,183.75674248666667,361.93074416,40.39815966133333,92.828467166
2018-01-10,197.53244554,354.54031068666666,43.778558226,81.835511548
2018-01-11,191.19149150666667,368.72791180666667,42.102571170666664,71.84099791266667
2018-01-12,191.83608124,374.97901572,43.429405618666664,59.66530049466667
2018-01-13,195.70542128666665,383.7504760066667,41.82691550333333,55.977957066
2018-01-14,174.25572297333332,375.02844867333334,41.207784108,43.798995606666665
