time,PQ,Wat1,Wat2,Wat3
2017-11-01,125.54481469333334,381.34454702666665,35.99622187666667,67.05397198666667
2017-12-01,186.62916105333332,387.53251318,41.622272358000004,69.674988948
2018-01-01,234.78709692666666,398.8909361533333,50.07390843933333,101.19505307933333
2018-02-01,171.40710241333332,394.38917466666663,23.768476544,78.43215431466666
2018-03-01,137.46254797333333,395.01523366,22.208318712666667,72.40956933
2018-04-01,125.48607482,386.6605327066667,17.730843513333333,69.669229422
2018-05-01,85.32865722466667,383.46054374,13.117982466600001,57.870041877333335
2018-06-01,59.86305782266667,383.74410044,19.851828604666668,13.395066003333334
2018-07-01,69.347195778,377.5313080066667,30.464778792,14.906732124
2018-08-01,60.913506148,337.8738582866667,30.953065608666666,13.204998158
2018-09-01,56.013225616666666,323.46790776,13.4474648148,10.176761113666666
2018-12-01,112.35607210666667,391.4290212733333,19.435299895333333,76.88366822333333
2019-01-01,120.35430946666666,385.7520941066667,18.481609751333334,78.70597148133334
2019-02-01,114.26589282,385.3086460733333,20.361475876,89.38514273599999
2019-03-01,107.10484972666667,376.95315701333334,19.4783130225,52.295562673333336
2019-04-01,131.3324661,370.4149453933333,17.282414698,85.93546050866667
